Date,Symbol,Open,High,Low,Close,Volume ETH,Volume TUSD,tradecount
1/31/2022,ETHTUSD,2605.96,2707.92,2478.48,2685.4,874.285,2267698.774,2670
1/30/2022,ETHTUSD,2603.57,2639.14,2545.19,2605.03,312.4342,811820.6018,1351
1/29/2022,ETHTUSD,2541.32,2637.2,2523.2,2601.65,400.0831,1027360.712,2016
1/28/2022,ETHTUSD,2419.9,2555.55,2359.89,2552.23,1003.1856,2509188.64,2401
1/27/2022,ETHTUSD,2460.82,2519.24,2320.64,2424.42,442.1302,1072482.276,2356
1/26/2022,ETHTUSD,2443.28,2721.5,2405.44,2466.66,845.6426,2162851.453,3456
1/25/2022,ETHTUSD,2432.56,2505.83,2354.61,2452.03,592.0304,1436392.967,3169
1/24/2022,ETHTUSD,2538.48,2538.48,2164.88,2435.5,675.9098,1577173.877,3156
1/23/2022,ETHTUSD,2414.2,2547.68,2377.6,2535.52,265.975,659330.7714,1707
1/22/2022,ETHTUSD,2567.11,2622.32,2309.75,2412.16,658.9494,1626102.51,3346
1/21/2022,ETHTUSD,2992,3018.99,2465.04,2566.56,489.40247,1353208.131,2179
1/20/2022,ETHTUSD,3091.77,3270,2992,3006.26,270.0763,862014.9935,1451
1/19/2022,ETHTUSD,3163.8,3172.04,3041.33,3086.94,256.3175,796733.0739,1044
1/18/2022,ETHTUSD,3222.17,3236.09,3085.79,3165.6,210.5842,660641.7285,985
1/17/2022,ETHTUSD,3349.68,3349.68,3144.32,3206.05,366.7922,1193759.322,1616
1/16/2022,ETHTUSD,3332.1,3386.04,3277.47,3352.07,88.3687,295235.961,442
1/15/2022,ETHTUSD,3317.31,3365.64,3268.55,3340.5,92.6592,306837.3649,418
1/14/2022,ETHTUSD,3233.69,3338.48,3198.31,3311.46,189.6947,624628.3556,620
1/13/2022,ETHTUSD,3382.54,3407.08,3242.04,3242.04,251.1708,832215.3068,785
1/12/2022,ETHTUSD,3252.09,3406.16,3200.27,3371.71,286.8084,950890.5117,889
1/11/2022,ETHTUSD,3081.43,3260.56,3057.71,3238.29,331.276,1053616.394,960
1/10/2022,ETHTUSD,3150.96,3179.78,2940.78,3067.63,609.3239,1878755.476,1859
1/9/2022,ETHTUSD,3075.72,3209.94,3061.83,3142.35,636.6883,1998625.267,1649
1/8/2022,ETHTUSD,3199.53,3245.3,2999.01,3078.58,523.4364,1642125.684,1473
1/7/2022,ETHTUSD,3407.49,3408.35,3065.76,3199.53,901.7079,2892003.888,2594
1/6/2022,ETHTUSD,3529.16,3546.46,3299.23,3408.81,424.0061,1450657.527,1154
1/5/2022,ETHTUSD,3781.13,3847.1,3415.14,3539.18,643.4868,2374679.977,1822
1/4/2022,ETHTUSD,3767.15,3890.59,3719.81,3789.06,428.7973,1631957.101,1008
1/3/2022,ETHTUSD,3824.28,3845.37,3684.96,3763.32,534.942,2026259.039,1445
1/2/2022,ETHTUSD,3766.78,3850,3716.44,3833.61,503.3475,1905361.505,1436
1/1/2022,ETHTUSD,3692.75,3775.19,3677.75,3766.78,656.3231,2450364.501,1540
12/31/2021,ETHTUSD,3726.23,3811.86,3627.25,3679.61,750.8271,2797319.405,1868
12/30/2021,ETHTUSD,3630.02,3767.45,3557.56,3709.93,684.423,2536875.821,1820
12/29/2021,ETHTUSD,3795.34,3827.56,3608.56,3627.88,510.4771,1914581.969,1119
12/28/2021,ETHTUSD,4030.39,4034.71,3690.02,3793.12,1039.4829,4036308.432,2153
12/27/2021,ETHTUSD,4066.34,4125.97,4036.83,4036.91,659.8924,2688444.957,1651
12/26/2021,ETHTUSD,4089.13,4106.62,3998.51,4073,676.1346,2743350.825,1492
12/25/2021,ETHTUSD,4045.44,4140,4022,4095.41,835.474,3401302.649,1929
12/24/2021,ETHTUSD,4120.8,4135.06,4027.18,4042.64,1127.15,4611564.446,2158
12/23/2021,ETHTUSD,3981.52,4152.51,3821,4108.44,1325.7435,5336917.376,2669
12/22/2021,ETHTUSD,4018.35,4072.49,3938.91,3980.6,1186.3262,4758340.498,2376
12/21/2021,ETHTUSD,3961.1,4068.35,3914.57,4016.28,619.2457,2480719.433,1682
